seconds,RX data rate,TX data rate,disk writes,available disk capacity
307,2390672.03,34773.55,143.93,9318
312,2390678.49,34778.41,144.04,9318
317,2390684.95,34783.27,144.47,9318
323,2390691.41,34788.13,144.47,9318
328,2390697.93,34793.03,144.58,9318
333,2390704.39,34797.84,144.92,9318
338,2390710.85,34802.64,144.92,9318
343,2390717.31,34807.45,145.41,9318
348,2390723.76,34812.26,145.41,9318
353,2390730.28,34817.16,145.87,9318
359,2390736.74,34821.97,145.87,9318
364,2390743.20,34826.83,146.00,9318
369,2390749.66,34831.69,146.40,9318
374,2390756.13,34836.55,146.40,9318
379,2390762.66,34841.45,146.90,9318
384,2390769.12,34846.26,146.90,9318
389,2390775.58,34851.12,147.03,9318
395,2390782.04,34855.98,147.42,9318
400,2390788.50,34860.84,147.41,9318
405,2390795.11,34865.78,147.55,9318
410,2390801.58,34870.58,147.95,9318
415,2390808.05,34875.39,148.08,9318
420,2390814.51,34880.20,148.45,9318
425,2390820.98,34885.06,148.45,9318
430,2390827.56,34889.87,148.90,9318
436,2390834.02,34894.73,148.90,9318
441,2390840.49,34899.59,149.35,9318
447,2390846.95,34904.40,149.35,9318
452,2390853.40,34909.26,149.48,9318
457,2390859.93,34914.10,149.85,9318
462,2390866.39,34918.91,149.98,9318
467,2390872.85,34923.72,150.36,9318
472,2390879.31,34928.58,150.49,9318
477,2390885.87,34933.48,150.88,9318
483,2390892.33,34938.28,150.88,9318
488,2390898.80,34943.14,151.37,9318
493,2390905.26,34947.95,151.37,9318
498,2390911.72,34952.81,151.63,9318
503,2390918.19,34957.62,151.86,5206
508,2390924.76,34962.47,152.00,5221
513,2390937.69,34972.08,152.39,5221
519,2390944.15,34976.94,152.53,5221
524,2390950.62,34981.75,152.67,5221
529,2390951.08,34982.00,153.00,5221
534,2390963.54,34991.49,153.14,5221
539,2390970.00,34996.35,153.45,5221
545,2390976.45,35001.16,153.59,5221
550,2390982.91,35005.97,153.94,5221
555,2390989.43,35010.87,153.93,5221
560,2390995.89,35015.73,154.42,5219
565,2391002.35,35020.59,154.42,5219
570,2391008.82,35025.45,154.56,5219
575,2391015.28,35030.31,154.90,5219
581,2391021.74,35035.12,155.03,5219
586,2391028.20,35039.98,155.38,5219
591,2391034.66,35044.79,155.38,5219
596,2391041.22,35049.73,155.87,5219
601,2391047.68,35054.59,155.87,5219
606,2391054.32,35059.50,156.01,5219
612,2391060.79,35064.30,156.37,5219
617,2391067.25,35069.11,156.51,5219
622,2391073.71,35073.92,156.89,5219
627,2391080.18,35078.73,156.89,5221
632,2391086.64,35083.53,157.33,5221
637,2391093.11,35088.39,157.33,5221
643,2391099.56,35093.20,157.61,5221
648,2391106.02,35098.01,157.94,5221
653,2391112.48,35102.82,158.08,5221
658,2391119.00,35107.72,158.40,5221
664,2391125.46,35112.58,158.39,5221
669,2391131.92,35117.39,158.53,5221
674,2391138.39,35122.19,158.87,5221
679,2391144.85,35127.00,159.00,5221
684,2391151.31,35131.81,159.34,5221
689,2391157.77,35136.62,159.46,5221
694,2391164.24,35141.42,159.80,5221
700,2391170.70,35146.23,159.80,5221
705,2391177.17,35151.04,160.26,5221
710,2391183.68,35155.89,160.26,5221
715,2391190.14,35160.70,160.65,5222
720,2391196.60,35165.50,160.75,5222
725,2391203.07,35170.31,160.82,4965
730,2391209.53,35175.12,161.24,4966
735,2391215.99,35179.93,161.27,4452
741,2391222.51,35184.73,161.47,4452
746,2391228.97,35194.40,161.82,4454
752,2391240.74,35199.11,162.05,4454
757,2391242.49,35204.11,162.34,4454
762,2391254.89,35208.92,162.46,4454
768,2391261.36,35213.78,162.87,3430
773,2391267.83,35218.64,162.87,3430
778,2391277.27,35225.19,163.00,3430
783,2391283.79,35230.05,163.36,3430
789,2391290.31,35234.91,163.49,3430
794,2391296.78,35239.77,163.85,3430
799,2391303.30,35244.67,163.85,3430
804,2391309.77,35249.53,164.32,3430
809,2391316.23,35254.34,164.32,3430
814,2391322.69,35259.14,164.55,3430
819,2391329.16,35263.95,164.88,1374
825,2391335.63,35268.76,164.99,1381
830,2391342.10,35273.57,165.43,1381
835,2391348.56,35278.43,165.43,1381
840,2391355.02,35283.24,165.66,1381
845,2391361.54,35288.08,165.66,17498
851,2391368.00,35292.89,165.66,17498
856,2391374.46,35297.75,165.66,17496
861,2391380.92,35302.61,165.66,17496
867,2391387.38,35307.47,165.65,17496
872,2391393.84,35312.33,165.65,17496
878,2391400.29,35317.19,165.65,17496
883,2391406.76,35322.00,165.65,17496
889,2391419.75,35331.76,165.65,17496
894,2391420.22,35332.01,165.64,17496
